,lema_verbo_web,classe_verbo_web,aspecto_lexical,papel_tematico,estrutura_sintatica,exemplo_verbo_web
1275,Secar 2,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cozinheira secou a pia.
1276,Sedimentar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O passar do tempo sedimentou as ideias sobre o universo./ O cientista sedimentou suas ideias sobre o universo para escrever sua tese.
1277,Seduzir,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As novas propostas dos políticos seduziram o povo.
1278,Segmentar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O curso da água segmentou a rocha./ O arqueólogo segmentou a rocha intencionalmente.
1279,Selar 1,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A secretária selou a carta.
1280,Selar 2,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O cavaleiro selou o cavalo.
1281,Sensibilizar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O sofrimento do Paulo sensibilizou a sua sogra.
1282,Sentar (assentar),Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A menina sentou a boneca (no carrinho).
1283,Sentenciar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O júri sentenciou o acusado.
1284,Separar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A distância separou os irmãos./ A mãe separou os irmãos para que eles parassem de brigar.
1285,Serenar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O carinho da Luci serenou o seu marido.
1286,Serrar,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O lenhador serrou a madeira.
1287,Simpatizar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O público simpatizou com a proposta do palestrante.
1288,Simplificar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O uso de vídeos simplificou as aulas./ O professor simplificou as aulas para os alunos entenderem a matéria.
1289,Sincronizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O ajuste nos microfones sincronizou as vozes dos cantores./ O diretor musical sincronizou as vozes dos cantores intencionalmente.
1290,Sistematizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A distribuição de senhas sistematizou o atendimento./ O chefe sistematizou o atendimento para evitar filas.
1291,Situar 1,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O governo situou a praça no meio da cidade.
1292,Sobrecarregar,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A semana de provas sobrecarregou as crianças de tarefas./ O professor sobrecarregou as crianças de tarefas por querer.
1293,Sobressaltar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A aparição do José sobressaltou a Matilde.
1294,Socar 1,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O homem socou a parede.
1295,Socar 2,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cozinheira socou o alho.
1296,Socar 3,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A mulher socou as roupas de qualquer jeito no armário.
1297,Sofisticar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A construção de uma nova fachada sofisticou a loja./ A decoradora sofisticou a loja intencionalmente.
1298,Solar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A massa do bolo solou.
1299,Solidificar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O frio solidificou a substância./ O cientista solidificou a substância intencionalmente.
1300,Soluçar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A moça soluçava a todo instante.
1301,Solucionar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O aparecimento de uma nova evidência solucionou o caso./ O detetive solucionou o caso para tranquilizar a família da vítima.
1302,Sombrear,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As tristes lembranças da filha sombrearam o olhar da senhora.
1303,Sonhar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A menina sonhava todas as noites.
1304,Soprar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A deusa soprava de hora em hora.
1305,Sorrir,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O bebezinho sorria demais.
1306,Sossegar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A confiança do treinador sossegou o atleta.
1307,Sovar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O padeiro sovou a massa do pão.
1308,Suavizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O cozimento lento suavizou o sabor da comida./ A cozinheira suavizou o sabor da comida intencionalmente.
1309,Subestimar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A mulher subestimou a aparência desleixada do advogado.
1310,Subir,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),A represa subiu até o nível de alerta.
1311,Subornar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O dono da construtora subornou o político.
1312,Subsidiar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A União subsidiou o estado.
1313,Subvencionar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A prefeitura subvencionou a escola de samba.
1314,Sufocar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O refluxo sufocou o gato./ O menino malvado sufocou o gato intencionalmente.
1315,Sufocar 2,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A proteção excessiva da mãe sufocou o filho.
1316,Sujar,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A enxurrada sujou a calçada de barro./ O menino sujou a calçada de barro por querer.
1317,Superestimar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O paciente superestimava a profissão do doutor.
1318,Supor,Culminação: verbos de mudança de estado mental,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Paciente/Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O empresário supôs a queda da bolsa.
1319,Surpreender 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O jeito agressivo do candidato surpreendia os eleitores a cada dia.
1320,Surpreender 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A explosão da bomba surpreendeu os congressistas./ O terrorista surpreendeu os congressistas com uma bomba.
1321,Surrar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O fazendeiro cruel surrou seu cavalo.
